"id","fr","de","wortart","genus","beispielsatz_fr","themenfeld","quelle","created_at"
"34250","le vocabulaire des aliments","Essenswortschatz","noun","m","Au quotidien, le vocabulaire des aliments compte beaucoup.","Allgemein","",""
"34251","la question simple","einfache Frage","noun","f","Au quotidien, la question simple compte beaucoup.","Allgemein","",""
"34252","la demande de pardon","Bitte um Verzeihung","noun","f","Au quotidien, la demande de pardon compte beaucoup.","Allgemein","",""
"34253","le mot de transition","Übergangswort","noun","m","Au quotidien, le mot de transition compte beaucoup.","Allgemein","",""
"34254","le mot de liaison simple","einfaches Verbindungswort","noun","m","Au quotidien, le mot de liaison simple compte beaucoup.","Allgemein","",""
"34255","la histoire en images","Bildergeschichte","noun","f","Au quotidien, la histoire en images compte beaucoup.","Allgemein","",""
"34256","le jeu de questions","Fragespiel","noun","m","Au quotidien, le jeu de questions compte beaucoup.","Allgemein","",""
"34257","le petit dialogue","kleiner Dialog","noun","m","Au quotidien, le petit dialogue compte beaucoup.","Allgemein","",""
"34258","le dialogue du matin","Morgendialog","noun","m","Au quotidien, le dialogue du matin compte beaucoup.","Allgemein","",""
"34259","le dialogue du départ","Abschiedsdialog","noun","m","Au quotidien, le dialogue du départ compte beaucoup.","Allgemein","",""
"34260","la salutation du soir","Abendgruß","noun","f","Au quotidien, la salutation du soir compte beaucoup.","Allgemein","",""
"34261","le petit message aux parents","kurze Nachricht an die Eltern","noun","m","Au quotidien, le petit message aux parents compte beaucoup.","Allgemein","",""
"34262","le mot dans le cahier","Eintrag im Heft","noun","m","Au quotidien, le mot dans le cahier compte beaucoup.","Allgemein","",""
"34263","l'appel de présence","Anwesenheitsaufruf","noun","","Au quotidien, l'appel de présence compte beaucoup.","Allgemein","",""
"34264","le prénom en capitales","Vorname in Druckbuchstaben","noun","m","Au quotidien, le prénom en capitales compte beaucoup.","Allgemein","",""
"34265","le prénom en script","Vorname in Schreibschrift","noun","m","Au quotidien, le prénom en script compte beaucoup.","Allgemein","",""
"34266","la boîte à sons","Lautebox","noun","f","Au quotidien, la boîte à sons compte beaucoup.","Allgemein","",""
"36267","le chien","der Hund","noun","m","Le chien dort devant la porte.","Natur","",""
"38020","à","zu; in; an; nach","preposition","","Je vais à Paris demain.","Meinungen & Kommunikation","",""
"38021","de","von; aus; über","preposition","","Je viens de Berlin.","Meinungen & Kommunikation","",""
"38022","on","man; wir","pronoun","","On arrive dans cinq minutes.","Lernen & Bildung","",""
"38023","me","mich; mir","pronoun","","Elle me parle doucement.","Lernen & Bildung","",""
"38024","te","dich; dir","pronoun","","Je te téléphone ce soir.","Lernen & Bildung","",""
"38025","se","sich","pronoun","","Il se lève tôt.","Lernen & Bildung","",""
"38029","ne","nicht","adverb","","Je ne sais pas.","Lernen & Bildung","",""
"38030","ça","das; es","pronoun","","Ça va bien aujourd'hui.","Lernen & Bildung","",""
"38035","dans","in; hinein","preposition","","Le livre est dans le sac.","Meinungen & Kommunikation","",""
"38036","pour","für; um zu","preposition","","C'est pour toi.","Meinungen & Kommunikation","",""
"38038","chez","bei; zu Hause bei","preposition","","Je suis chez le médecin.","Meinungen & Kommunikation","",""
"38040","au","zum; am","pronoun","","Il va au bureau.","Lernen & Bildung","",""
"38043","moins","weniger","adverb","","Elle parle moins vite.","Allgemein","",""
"38044","là","da; dort","adverb","","Le livre est là.","Stadt","",""
"38045","que","dass; der/die/das; als","conjunction","","Je pense que c'est vrai.","Meinungen & Kommunikation","",""
"38621","appeler les pompiers","die Feuerwehr rufen","phrase","","En voyant la fumée, il faut appeler les pompiers tout de suite.","Stadt","",""
"38622","appeler la police","die Polizei rufen","phrase","","Si quelqu'un est agressif, appelle la police immédiatement.","Stadt","",""
"38826","aller à l'église","in die Kirche gehen","phrase","","Le dimanche, sa grand-mère aime aller à l'église.","Kultur & Unterhaltung","",""
"38827","entrer dans une église","eine Kirche betreten","phrase","","En voyage, nous aimons entrer dans une église ancienne.","Kultur & Unterhaltung","",""
"38852","être ado","ein Teenager sein","phrase","","Quand on est ado, on veut souvent plus d'indépendance.","Familie & Freunde","",""
"39095","signer le formulaire","das Formular unterschreiben","phrase","","N'oubliez pas de signer le formulaire en bas de page.","Stadt","",""
"39225","le doudou du bébé","das Kuscheltuch des Babys","noun","m","Nous avons préparé le doudou du bébé avant de sortir.","Körper & Gesundheit","",""
"39251","le doudou de la crèche","das Kita-Kuscheltier","noun","m","On a parlé de le doudou de la crèche à la réunion de rentrée.","Familie & Freunde","",""
"39252","le goûter de la crèche","der Kita-Snack","noun","m","On a parlé de le goûter de la crèche à la réunion de rentrée.","Familie & Freunde","",""
"39257","la photo de classe","das Klassenfoto","noun","f","On a parlé de la photo de classe à la réunion de rentrée.","Familie & Freunde","",""
"39304","le pyjama de rechange","der Ersatzpyjama","noun","m","On a installé le pyjama de rechange dans la maison.","Haus & Wohnen","",""
"39310","le livre cartonné","das Pappbilderbuch","noun","m","On a installé le livre cartonné dans la maison.","Haus & Wohnen","",""
"39312","le toboggan du parc","die Rutsche im Park","noun","m","On a préparé le toboggan du parc pour samedi.","Freizeit & Hobbys","",""
"39324","la comptine du soir","das Abendlied","noun","f","On a préparé la comptine du soir pour samedi.","Freizeit & Hobbys","",""
"39347","préparer les chaussures de sport","die Sportschuhe vorbereiten","phrase","","Il faut préparer les chaussures de sport avant de partir.","Familie & Freunde","",""
"39352","préparer le pyjama de rechange","den Ersatzpyjama vorbereiten","phrase","","Il faut préparer le pyjama de rechange avant de partir.","Haus & Wohnen","",""
"39357","préparer le livre cartonné","das Pappbilderbuch vorbereiten","phrase","","Il faut préparer le livre cartonné avant de partir.","Haus & Wohnen","",""
"39366","emporter le doudou du bébé","das Kuscheltuch des Babys mitnehmen","phrase","","N'oublie pas d'emporter le doudou du bébé ce matin.","Körper & Gesundheit","",""
"39371","emporter les chaussures de sport","die Sportschuhe mitnehmen","phrase","","N'oublie pas d'emporter les chaussures de sport ce matin.","Familie & Freunde","",""
"39374","emporter le doudou de la crèche","das Kita-Kuscheltier mitnehmen","phrase","","N'oublie pas d'emporter le doudou de la crèche ce matin.","Familie & Freunde","",""
"39377","emporter le pyjama de rechange","den Ersatzpyjama mitnehmen","phrase","","N'oublie pas d'emporter le pyjama de rechange ce matin.","Haus & Wohnen","",""
"39383","emporter le livre cartonné","das Pappbilderbuch mitnehmen","phrase","","N'oublie pas d'emporter le livre cartonné ce matin.","Haus & Wohnen","",""
"39384","emporter l'album jeunesse","das Bilderbuch mitnehmen","phrase","","N'oublie pas d'emporter l'album jeunesse ce matin.","Haus & Wohnen","",""
"39483","ranger la pâte à modeler","die Knete wegräumen","phrase","","On doit ranger la pâte à modeler avant le dîner.","Haus & Wohnen","",""
"39485","ranger le livre cartonné","das Pappbilderbuch wegräumen","phrase","","On doit ranger le livre cartonné avant le dîner.","Haus & Wohnen","",""
"39486","ranger le doudou du bébé","das Kuscheltuch des Babys wegräumen","phrase","","On doit ranger le doudou du bébé avant le dîner.","Körper & Gesundheit","",""
"39487","ranger le doudou de la crèche","das Kita-Kuscheltier wegräumen","phrase","","On doit ranger le doudou de la crèche avant le dîner.","Familie & Freunde","",""
"39490","ranger les chaussures de sport","die Sportschuhe wegräumen","phrase","","On doit ranger les chaussures de sport avant le dîner.","Familie & Freunde","",""
"39495","ranger le pyjama de rechange","den Ersatzpyjama wegräumen","phrase","","On doit ranger le pyjama de rechange avant le dîner.","Haus & Wohnen","",""
"39497","préparer le biberon du soir","das Abendfläschchen vorbereiten","phrase","","Il faut préparer le biberon du soir aujourd'hui.","Körper & Gesundheit","",""
"39498","réchauffer le petit pot","das Babygläschen erwärmen","phrase","","Il faut réchauffer le petit pot aujourd'hui.","Körper & Gesundheit","",""
"39499","changer la couche","die Windel wechseln","phrase","","Il faut changer la couche aujourd'hui.","Körper & Gesundheit","",""
"39500","donner le bain au bébé","das Baby baden","phrase","","Il faut donner le bain au bébé aujourd'hui.","Körper & Gesundheit","",""
"39513","attacher le casque","den Helm festmachen","phrase","","Il faut attacher le casque aujourd'hui.","Freizeit & Hobbys","",""
"39514","laver le doudou","das Kuscheltuch waschen","phrase","","Il faut laver le doudou aujourd'hui.","Haus & Wohnen","",""
"39516","écouter une comptine du soir","ein Abendlied anhören","phrase","","Il faut écouter une comptine du soir aujourd'hui.","Freizeit & Hobbys","",""
"39517","accompagner l'enfant à la crèche","das Kind in die Kita bringen","phrase","","Il faut accompagner l'enfant à la crèche aujourd'hui.","Familie & Freunde","",""
"39518","accompagner l'enfant à l'école","das Kind zur Schule bringen","phrase","","Il faut accompagner l'enfant à l'école aujourd'hui.","Familie & Freunde","",""
"39519","aller chercher l'enfant à la crèche","das Kind aus der Kita abholen","phrase","","Il faut aller chercher l'enfant à la crèche aujourd'hui.","Familie & Freunde","",""
"39520","aller chercher l'enfant à l'école","das Kind von der Schule abholen","phrase","","Il faut aller chercher l'enfant à l'école aujourd'hui.","Familie & Freunde","",""
"39533","faire la queue devant l'école","vor der Schule anstehen","phrase","","Il faut faire la queue devant l'école aujourd'hui.","Familie & Freunde","",""
"39534","attendre devant la crèche","vor der Kita warten","phrase","","Il faut attendre devant la crèche aujourd'hui.","Familie & Freunde","",""
"39539","aller à la fête de l'école","zum Schulfest gehen","phrase","","Il faut aller à la fête de l'école aujourd'hui.","Freizeit & Hobbys","",""
"39543","brosser les dents des enfants","den Kindern die Zähne putzen","phrase","","Il faut brosser les dents des enfants aujourd'hui.","Körper & Gesundheit","",""
"39544","lire une histoire du soir","eine Gutenachtgeschichte vorlesen","phrase","","Il faut lire une histoire du soir aujourd'hui.","Familie & Freunde","",""
"39546","sortir au parc après l'école","nach der Schule in den Park gehen","phrase","","Il faut sortir au parc après l'école aujourd'hui.","Freizeit & Hobbys","",""
"39562","mettre la table avec les enfants","mit den Kindern den Tisch decken","phrase","","Il faut mettre la table avec les enfants aujourd'hui.","Familie & Freunde","",""
"39570","gonfler les ballons","die Luftballons aufblasen","phrase","","Il faut gonfler les ballons aujourd'hui.","Freizeit & Hobbys","",""
"39583","le compte gratuit","das Gratiskonto","noun","m","Tu peux trouver le compte gratuit dans les paramètres du compte.","Internet & Social Media","",""
"39776","le panier en ligne","der Online-Warenkorb","noun","m","La boutique en ligne affiche le panier en ligne avant la commande.","Wirtschaft & Finanzen","",""
"39784","le code de réduction","der Rabattcode","noun","m","La boutique en ligne affiche le code de réduction avant la commande.","Wirtschaft & Finanzen","",""
"39795","ouvrir la page de connexion","die Anmeldeseite öffnen","phrase","","Tu peux ouvrir la page de connexion directement en ligne.","Internet & Social Media","",""
"39838","brancher le câble HDMI","das HDMI-Kabel anschließen","phrase","","On peut brancher le câble HDMI dans les paramètres.","Technik","",""
"39888","couper son micro","sein Mikro stummschalten","phrase","","Tu peux couper son micro directement en ligne.","Internet & Social Media","",""
"39889","couper sa caméra","seine Kamera ausschalten","phrase","","Tu peux couper sa caméra directement en ligne.","Internet & Social Media","",""
"39900","ajouter au panier en ligne","in den Online-Warenkorb legen","phrase","","Tu peux ajouter au panier en ligne directement en ligne.","Wirtschaft & Finanzen","",""
"39979","ouvrir le mode plein écran","den Vollbildmodus öffnen","phrase","","On peut ouvrir le mode plein écran dans les réglages.","Internet & Social Media","",""
"40047","le panier à fruits","der Obstkorb","noun","m","J'ai posé le panier à fruits sur le plan de travail.","Haus & Wohnen","",""
"40068","la confiture de fraises","die Erdbeermarmelade","noun","f","J'ai acheté la confiture de fraises pour cuisiner ce soir.","Essen","",""
"40089","le panier du supermarché","der Einkaufskorb","noun","m","On voit souvent le panier du supermarché pendant les courses.","Essen","",""
"40090","le caddie de courses","der Einkaufswagen","noun","m","On voit souvent le caddie de courses pendant les courses.","Essen","",""
"40117","le rayon boissons","die Getränkeabteilung","noun","m","On voit souvent le rayon boissons pendant les courses.","Essen","",""
"40120","le paiement en caisse","die Zahlung an der Kasse","noun","m","On voit souvent le paiement en caisse pendant les courses.","Essen","",""
"40182","la bouteille d'huile","die Ölflasche","noun","f","Nous avons rangé la bouteille d'huile dans la cuisine.","Haus & Wohnen","",""
"40183","la bouteille de vinaigre","die Essigflasche","noun","f","Nous avons rangé la bouteille de vinaigre dans la cuisine.","Haus & Wohnen","",""
"40189","la cruche d'eau","die Wasserkaraffe","noun","f","Nous avons rangé la cruche d'eau dans la cuisine.","Haus & Wohnen","",""
"40226","préparer le fromage râpé","den geriebene Käse vorbereiten","phrase","","Il faut préparer le fromage râpé avant ce soir.","Essen","",""
"40237","préparer le paquet de biscuits","die Packung Kekse vorbereiten","phrase","","Il faut préparer le paquet de biscuits avant ce soir.","Essen","",""
"40242","acheter le yaourt nature","den Naturjoghurt kaufen","phrase","","Je vais acheter le yaourt nature au magasin.","Essen","",""
"40243","acheter le fromage râpé","den geriebene Käse kaufen","phrase","","Je vais acheter le fromage râpé au magasin.","Essen","",""
"40253","acheter la confiture de fraises","die Erdbeermarmelade kaufen","phrase","","Je vais acheter la confiture de fraises au magasin.","Essen","",""
"40264","acheter l'eau pétillante","das Sprudelwasser kaufen","phrase","","Je vais acheter l'eau pétillante au magasin.","Essen","",""
"40267","acheter le paquet de biscuits","die Packung Kekse kaufen","phrase","","Je vais acheter le paquet de biscuits au magasin.","Essen","",""
"40269","acheter le panier du supermarché","den Einkaufskorb kaufen","phrase","","Je vais acheter le panier du supermarché au magasin.","Essen","",""
"40270","acheter le caddie de courses","den Einkaufswagen kaufen","phrase","","Je vais acheter le caddie de courses au magasin.","Essen","",""
"40291","ranger le panier à fruits","den Obstkorb wegräumen","phrase","","On doit ranger le panier à fruits après le repas.","Haus & Wohnen","",""
"40320","ranger la corbeille à pain","den Brotkorb wegräumen","phrase","","On doit ranger la corbeille à pain après le repas.","Haus & Wohnen","",""
"40366","remplir le panier du supermarché","den Einkaufskorb füllen","phrase","","Tu peux remplir le panier du supermarché maintenant.","Essen","",""
"40367","remplir le caddie de courses","den Einkaufswagen füllen","phrase","","Tu peux remplir le caddie de courses maintenant.","Essen","",""
"40373","remplir la cruche d'eau","die Wasserkaraffe füllen","phrase","","Tu peux remplir la cruche d'eau maintenant.","Haus & Wohnen","",""
"40407","sortir le yaourt nature","den Naturjoghurt herausnehmen","phrase","","N'oublie pas de sortir le yaourt nature avant la préparation.","Essen","",""
"40408","sortir le fromage râpé","den geriebene Käse herausnehmen","phrase","","N'oublie pas de sortir le fromage râpé avant la préparation.","Essen","",""
"40414","sortir l'eau pétillante","das Sprudelwasser herausnehmen","phrase","","N'oublie pas de sortir l'eau pétillante avant la préparation.","Essen","",""
"40426","plier le linge propre","die saubere Wäsche zusammenlegen","phrase","","On doit plier le linge propre aujourd'hui.","Haus & Wohnen","",""
"40427","sortir les poubelles","den Müll rausbringen","phrase","","On doit sortir les poubelles aujourd'hui.","Haus & Wohnen","",""
"40431","essuyer les verres","die Gläser abtrocknen","phrase","","On doit essuyer les verres aujourd'hui.","Haus & Wohnen","",""
"40433","rincer la passoire","das Sieb abspülen","phrase","","On doit rincer la passoire aujourd'hui.","Haus & Wohnen","",""
"40435","râper le fromage","den Käse reiben","phrase","","On doit râper le fromage aujourd'hui.","Essen","",""
"40436","éplucher les légumes","das Gemüse schälen","phrase","","On doit éplucher les légumes aujourd'hui.","Essen","",""
"40440","préchauffer le four","den Ofen vorheizen","phrase","","On doit préchauffer le four aujourd'hui.","Haus & Wohnen","",""
"40441","faire bouillir de l'eau","Wasser zum Kochen bringen","phrase","","On doit faire bouillir de l'eau aujourd'hui.","Essen","",""
"40442","faire cuire le riz","Reis kochen","phrase","","On doit faire cuire le riz aujourd'hui.","Essen","",""
"40449","préparer le petit-déjeuner","das Frühstück vorbereiten","phrase","","On doit préparer le petit-déjeuner aujourd'hui.","Essen","",""
"40450","faire la liste de courses","die Einkaufsliste machen","phrase","","On doit faire la liste de courses aujourd'hui.","Essen","",""
"40451","partir faire les courses","einkaufen gehen","phrase","","On doit partir faire les courses aujourd'hui.","Essen","",""
"40458","payer en caisse","an der Kasse bezahlen","phrase","","On doit payer en caisse aujourd'hui.","Essen","",""
"40464","ouvrir un bocal","ein Glas öffnen","phrase","","On doit ouvrir un bocal aujourd'hui.","Essen","",""
"40465","fermer la boîte hermétique","die Frischhaltedose schließen","phrase","","On doit fermer la boîte hermétique aujourd'hui.","Haus & Wohnen","",""
"40467","remplir la carafe","die Karaffe füllen","phrase","","On doit remplir la carafe aujourd'hui.","Haus & Wohnen","",""
"40468","servir la soupe","die Suppe servieren","phrase","","On doit servir la soupe aujourd'hui.","Essen","",""
"40469","dresser la table","den Tisch decken","phrase","","On doit dresser la table aujourd'hui.","Haus & Wohnen","",""
"40470","débarrasser la table","den Tisch abräumen","phrase","","On doit débarrasser la table aujourd'hui.","Haus & Wohnen","",""
"40471","couper les fruits","das Obst schneiden","phrase","","On doit couper les fruits aujourd'hui.","Essen","",""
"40473","mettre les biscuits dans la boîte","die Kekse in die Dose legen","phrase","","On doit mettre les biscuits dans la boîte aujourd'hui.","Haus & Wohnen","",""
"40474","prendre un torchon propre","ein sauberes Geschirrtuch nehmen","phrase","","On doit prendre un torchon propre aujourd'hui.","Haus & Wohnen","",""
"40475","sortir une capsule de café","eine Kaffeekapsel herausnehmen","phrase","","On doit sortir une capsule de café aujourd'hui.","Essen","",""
"40476","faire chauffer le lait","die Milch erwärmen","phrase","","On doit faire chauffer le lait aujourd'hui.","Essen","",""
"40649","la sonnette de vélo","die Fahrradklingel","noun","f","Le cycliste utilise la sonnette de vélo tous les jours.","Verkehr","",""
"40728","la route du bureau","der Weg zum Büro","noun","f","On organise la route du bureau pour la semaine.","Verkehr","",""
"40735","passer à la station-service","an die Tankstelle fahren","phrase","","On peut passer à la station-service avant de repartir.","Verkehr","",""
"40755","faire une marche arrière","rückwärts fahren","phrase","","On peut faire une marche arrière avant de repartir.","Verkehr","",""
"40767","chercher une place de parking","einen Parkplatz suchen","phrase","","On peut chercher une place de parking avant de repartir.","Verkehr","",""
"40768","prendre un ticket de parking","ein Parkticket ziehen","phrase","","On peut prendre un ticket de parking avant de repartir.","Verkehr","",""
"40773","prendre l'autoroute","auf die Autobahn fahren","phrase","","On peut prendre l'autoroute avant de repartir.","Verkehr","",""
"40785","montrer le permis de conduire","den Führerschein zeigen","phrase","","On peut montrer le permis de conduire avant de repartir.","Verkehr","",""
"40787","garer le vélo","das Fahrrad abstellen","phrase","","On peut garer le vélo avant de repartir.","Verkehr","",""
"40795","mettre le casque de vélo","den Fahrradhelm aufsetzen","phrase","","On peut mettre le casque de vélo avant de repartir.","Verkehr","",""
"40800","mettre les gants de moto","die Motorradhandschuhe anziehen","phrase","","On peut mettre les gants de moto avant de repartir.","Verkehr","",""
"40801","fermer la visière du casque","das Visier schließen","phrase","","On peut fermer la visière du casque avant de repartir.","Verkehr","",""
"40802","démarrer le scooter","den Roller starten","phrase","","On peut démarrer le scooter avant de repartir.","Verkehr","",""
"40803","garer la moto","das Motorrad parken","phrase","","On peut garer la moto avant de repartir.","Verkehr","",""
"40812","prendre la route du bureau","den Weg zum Büro nehmen","phrase","","On peut prendre la route du bureau avant de repartir.","Verkehr","",""
"40871","ouvrir la trappe à carburant","die Tankklappe öffnen","phrase","","On peut ouvrir la trappe à carburant avant de repartir.","Verkehr","",""
"40872","fermer le bouchon du réservoir","den Tankdeckel schließen","phrase","","On peut fermer le bouchon du réservoir avant de repartir.","Verkehr","",""
"41026","le café du bureau","der Kaffee im Büro","noun","m","On voit souvent le café du bureau dans le quotidien du bureau.","Berufe & Büro","",""
"41027","la pause café","die Kaffeepause","noun","f","On voit souvent la pause café dans le quotidien du bureau.","Berufe & Büro","",""
"41028","la réunion du matin","das Meeting am Morgen","noun","f","On voit souvent la réunion du matin dans le quotidien du bureau.","Berufe & Büro","",""
"41029","la réunion de l'après-midi","das Meeting am Nachmittag","noun","f","On voit souvent la réunion de l'après-midi dans le quotidien du bureau.","Berufe & Büro","",""
"41049","la clé du bureau","der Büroschlüssel","noun","f","On voit souvent la clé du bureau dans le quotidien du bureau.","Berufe & Büro","",""
"41069","organiser la réunion du matin","das Meeting am Morgen organisieren","phrase","","Il faut organiser la réunion du matin avant demain matin.","Berufe & Büro","",""
"41070","organiser la réunion de l'après-midi","das Meeting am Nachmittag organisieren","phrase","","Il faut organiser la réunion de l'après-midi avant demain matin.","Berufe & Büro","",""
"41174","ouvrir la salle de conférence","den Konferenzraum öffnen","phrase","","On doit ouvrir la salle de conférence aujourd'hui.","Berufe & Büro","",""
"41181","annuler une réunion","ein Meeting absagen","phrase","","On doit annuler une réunion aujourd'hui.","Berufe & Büro","",""
"41210","poser un jour de congé","einen Urlaubstag beantragen","phrase","","On doit poser un jour de congé aujourd'hui.","Arbeit","",""
"41220","faire chauffer le café du bureau","den Bürokafee warm machen","phrase","","On doit faire chauffer le café du bureau aujourd'hui.","Berufe & Büro","",""
"41223","imprimer un document","ein Dokument drucken","phrase","","On doit imprimer un document aujourd'hui.","Berufe & Büro","",""
"41225","scanner un document","ein Dokument scannen","phrase","","On doit scanner un document aujourd'hui.","Berufe & Büro","",""
"41226","mettre du papier dans l'imprimante","Papier in den Drucker legen","phrase","","On doit mettre du papier dans l'imprimante aujourd'hui.","Berufe & Büro","",""
"41229","fermer le bureau","das Büro abschließen","phrase","","On doit fermer le bureau aujourd'hui.","Berufe & Büro","",""
"41720","la veste de pluie","die Regenjacke","noun","f","On retrouve souvent la veste de pluie dans le quotidien familial.","Familie & Freunde","",""
"41736","la colle en bâton","der Klebestift","noun","f","L'élève a besoin de la colle en bâton pour la classe.","Schule","",""
"41858","préparer la veste de pluie","die Regenjacke vorbereiten","phrase","","Il faut préparer la veste de pluie avant de partir.","Familie & Freunde","",""
"41868","emporter la veste de pluie","die Regenjacke mitnehmen","phrase","","N'oublie pas d'emporter la veste de pluie ce matin.","Familie & Freunde","",""
"42017","la boîte de feutres","die Stiftebox","noun","f","L'école utilise souvent la boîte de feutres pendant l'année.","Schule","",""
"42459","la table pour deux","der Tisch für zwei","noun","f","Nous avons choisi la table pour deux pour le dîner.","Trinken & Gastronomie","",""
"42460","la table pour quatre","der Tisch für vier","noun","f","Nous avons choisi la table pour quatre pour le dîner.","Trinken & Gastronomie","",""
"42471","l'entrée du restaurant","der Restauranteingang","noun","","Nous avons choisi l'entrée du restaurant pour le dîner.","Trinken & Gastronomie","",""
"42484","la serviette en papier","die Papierserviette","noun","f","Le serveur a déjà posé la serviette en papier sur la table.","Trinken & Gastronomie","",""
"42485","le set de table","das Tischset","noun","m","Le serveur a déjà posé le set de table sur la table.","Trinken & Gastronomie","",""
"42497","la petite cuillère","der kleine Löffel","noun","f","Le serveur a déjà posé la petite cuillère sur la table.","Trinken & Gastronomie","",""
"42498","le verre à eau","das Wasserglas","noun","m","Le serveur a déjà posé le verre à eau sur la table.","Trinken & Gastronomie","",""
"42536","le sandwich chaud","das warme Sandwich","noun","m","Le client a demandé le sandwich chaud aujourd'hui.","Essen","",""
"42549","la boule de glace vanille","die Kugel Vanilleeis","noun","f","Après le repas, beaucoup de gens prennent la boule de glace vanille.","Essen","",""
"42550","la boule de glace chocolat","die Kugel Schokoladeneis","noun","f","Après le repas, beaucoup de gens prennent la boule de glace chocolat.","Essen","",""
"42557","la crêpe au sucre","der Crepe mit Zucker","noun","f","Après le repas, beaucoup de gens prennent la crêpe au sucre.","Essen","",""
"42558","la crêpe au chocolat","der Crepe mit Schokolade","noun","f","Après le repas, beaucoup de gens prennent la crêpe au chocolat.","Essen","",""
"42573","le jus multifruits","der Multivitaminsaft","noun","m","On peut commander le jus multifruits toute la journée.","Trinken & Gastronomie","",""
"42577","le sirop à l'eau","der Sirup mit Wasser","noun","m","On peut commander le sirop à l'eau toute la journée.","Trinken & Gastronomie","",""
"42586","le thé noir","der schwarze Tee","noun","m","On peut commander le thé noir toute la journée.","Trinken & Gastronomie","",""
"42638","réserver la table pour deux","den Tisch für zwei reservieren","phrase","","Je vais réserver la table pour deux pour samedi soir.","Trinken & Gastronomie","",""
"42639","réserver la table pour quatre","den Tisch für vier reservieren","phrase","","Je vais réserver la table pour quatre pour samedi soir.","Trinken & Gastronomie","",""
"42655","commander le menu enfant","das Kindermenü bestellen","phrase","","Nous allons commander le menu enfant après avoir lu la carte.","Essen","",""
"42657","commander le plat du jour","das Tagesgericht bestellen","phrase","","Nous allons commander le plat du jour après avoir lu la carte.","Essen","",""
"42659","commander le dessert du jour","das Dessert des Tages bestellen","phrase","","Nous allons commander le dessert du jour après avoir lu la carte.","Essen","",""
"42690","commander la crêpe au chocolat","den Crepe mit Schokolade bestellen","phrase","","Nous allons commander la crêpe au chocolat après avoir lu la carte.","Essen","",""
"42693","commander l'eau plate","das stille Wasser bestellen","phrase","","Nous allons commander l'eau plate après avoir lu la carte.","Trinken & Gastronomie","",""
"42705","commander la boisson chaude","das Heißgetränk bestellen","phrase","","Nous allons commander la boisson chaude après avoir lu la carte.","Trinken & Gastronomie","",""
"42706","commander la boisson froide","das Kaltgetränk bestellen","phrase","","Nous allons commander la boisson froide après avoir lu la carte.","Trinken & Gastronomie","",""
"42707","servir le plat du jour","das Tagesgericht servieren","phrase","","Le serveur va servir le plat du jour dans une minute.","Essen","",""
"42709","servir le dessert du jour","das Dessert des Tages servieren","phrase","","Le serveur va servir le dessert du jour dans une minute.","Essen","",""
"42737","servir l'eau plate","das stille Wasser servieren","phrase","","Le serveur va servir l'eau plate dans une minute.","Trinken & Gastronomie","",""
"42761","apporter la petite cuillère","den kleine Löffel bringen","phrase","","Pouvez-vous apporter la petite cuillère, s'il vous plaît ?","Trinken & Gastronomie","",""
"42762","apporter la cuillère à café","den Kaffeelöffel bringen","phrase","","Pouvez-vous apporter la cuillère à café, s'il vous plaît ?","Trinken & Gastronomie","",""
"42763","apporter le verre à eau","das Wasserglas bringen","phrase","","Pouvez-vous apporter le verre à eau, s'il vous plaît ?","Trinken & Gastronomie","",""
"42769","apporter la carafe d'eau fraîche","die Karaffe mit kaltem Wasser bringen","phrase","","Pouvez-vous apporter la carafe d'eau fraîche, s'il vous plaît ?","Trinken & Gastronomie","",""
"42777","apporter la boisson chaude","das Heißgetränk bringen","phrase","","Pouvez-vous apporter la boisson chaude, s'il vous plaît ?","Trinken & Gastronomie","",""
"42778","apporter la boisson froide","das Kaltgetränk bringen","phrase","","Pouvez-vous apporter la boisson froide, s'il vous plaît ?","Trinken & Gastronomie","",""
"42783","choisir le menu enfant","das Kindermenü auswählen","phrase","","Elle aime prendre son temps pour choisir le menu enfant.","Essen","",""
"42785","choisir le plat du jour","das Tagesgericht auswählen","phrase","","Elle aime prendre son temps pour choisir le plat du jour.","Essen","",""
"42787","choisir le dessert du jour","das Dessert des Tages auswählen","phrase","","Elle aime prendre son temps pour choisir le dessert du jour.","Essen","",""
"42803","choisir la crêpe au chocolat","den Crepe mit Schokolade auswählen","phrase","","Elle aime prendre son temps pour choisir la crêpe au chocolat.","Essen","",""
"42813","choisir la table pour deux","den Tisch für zwei auswählen","phrase","","Elle aime prendre son temps pour choisir la table pour deux.","Trinken & Gastronomie","",""
"42835","emporter le sandwich chaud","das warme Sandwich mitnehmen","phrase","","Je préfère emporter le sandwich chaud plutôt que manger sur place.","Essen","",""
"42843","payer le menu enfant","das Kindermenü bezahlen","phrase","","Il faut payer le menu enfant avant de partir.","Essen","",""
"43310","la porte automatique","die automatische Tür","noun","f","Les voyageurs passent par la porte automatique avant le départ.","Reisen","",""
"43501","imprimer le plan de la ville","Stadtplan ausdrucken","phrase","","Je préfère imprimer le plan de la ville avant de partir.","Internet & Social Media","",""
"43562","récupérer le plan de la ville","Stadtplan abholen","phrase","","Vous pouvez récupérer le plan de la ville à l'arrivée.","Internet & Social Media","",""
"44905","la routine du matin avant l'école","die Morgenroutine vor der Schule","noun","f","À la maison, la routine du matin avant l'école revient presque chaque jour.","Familie & Freunde","",""
